,angle,dft_eng,name_org,pot_energy_org,name_zro,pot_energy_zro,zro_ref_engs,org_ref_engs,dft_ref_en,diffrence
0,0,-1982.7947940000001,cccc_step1-md-org.log,2.66425e+02,cccc_step1-md-zro.log,2.66140e+02,0.0,0.0,0.0,0.0
1,15,-1982.794424,cccc_step2-md-org.log,2.78247e+02,cccc_step2-md-zro.log,2.75847e+02,9.706999999999994,11.822000000000003,0.9714350005322103,-8.735564999467783
2,30,-1982.793323,cccc_step3-md-org.log,2.83957e+02,cccc_step3-md-zro.log,2.77620e+02,11.480000000000018,17.531999999999982,3.8621105000991065,-7.617889499900912
3,45,-1982.790291,cccc_step4-md-org.log,3.06024e+02,cccc_step4-md-zro.log,2.95111e+02,28.971000000000004,39.59899999999999,11.822626500297702,-17.148373499702302
4,60,-1982.784955,cccc_step5-md-org.log,3.35519e+02,cccc_step5-md-zro.log,3.18415e+02,52.275000000000034,69.094,25.832294500147896,-26.44270549985214
5,75,-1982.777121,cccc_step6-md-org.log,3.64204e+02,cccc_step6-md-zro.log,3.37349e+02,71.209,97.779,46.40046150015462,-24.808538499845383
6,90,-1982.763744,cccc_step7-md-org.log,4.03456e+02,cccc_step7-md-zro.log,3.53174e+02,87.03399999999999,137.031,81.52177500013181,-5.512224999868181
7,105,-1982.775868,cccc_step8-md-org.log,3.61421e+02,cccc_step8-md-zro.log,3.29976e+02,63.83600000000001,94.99599999999998,49.690213000504855,-14.145786999495158
8,120,-1982.7868469999999,cccc_step9-md-org.log,3.17733e+02,cccc_step9-md-zro.log,2.98586e+02,32.446000000000026,51.30799999999999,20.8648485007501,-11.581151499249927
9,135,-1982.795968,cccc_step10-md-org.log,2.81697e+02,cccc_step10-md-zro.log,2.70848e+02,4.708000000000027,15.271999999999991,-3.082336999381482,-7.790336999381509
10,150,-1982.8026899999998,cccc_step11-md-org.log,2.41223e+02,cccc_step11-md-zro.log,2.36819e+02,-29.320999999999998,-25.201999999999998,-20.730947998998772,8.590052001001226
11,165,-1982.8067879999999,cccc_step12-md-org.log,2.24428e+02,cccc_step12-md-zro.log,2.23545e+02,-42.595,-41.997000000000014,-31.490246999294754,11.104753000705244
12,180,-1982.808081,cccc_step13-md-org.log,2.19823e+02,cccc_step13-md-zro.log,2.19812e+02,-46.327999999999975,-46.602000000000004,-34.88501849937984,11.442981500620135
